Entity,Code,Year,"Homicide rate per 100,000 population - Eisner and WHO Mortality Database"
Belgium,BEL,1375,16.4
Belgium,BEL,1425,20.5
Belgium,BEL,1475,22.5
Belgium,BEL,1525,13.2
Belgium,BEL,1575,8.8
Belgium,BEL,1625,14.6
Belgium,BEL,1675,5.7
Belgium,BEL,1725,4.3
Belgium,BEL,1775,2.4
Belgium,BEL,1825,0.8
Belgium,BEL,1862,1.7
Belgium,BEL,1887,1.8
Belgium,BEL,1912,2.2
Belgium,BEL,1937,1.6
Belgium,BEL,1962,0.5636049
Belgium,BEL,1987,1.5773194
Belgium,BEL,2006,1.3811014
Belgium,BEL,1981,1.3915323
Belgium,BEL,1982,1.4811321
Belgium,BEL,1983,1.7843232
Belgium,BEL,1984,1.6621525
Belgium,BEL,1985,2.025703
Belgium,BEL,1986,2.125484
Belgium,BEL,1988,1.5535855
Belgium,BEL,1989,1.3585117
Belgium,BEL,1990,1.4454675
Belgium,BEL,1991,1.4210125
Belgium,BEL,1992,1.6756402
Belgium,BEL,1993,1.9985967
Belgium,BEL,1994,1.8245629
Belgium,BEL,1995,1.6717725
Belgium,BEL,1996,1.9932228
Belgium,BEL,1997,1.7421281
Belgium,BEL,2011,1.3308216
Belgium,BEL,2010,1.0768287
Belgium,BEL,2009,1.2407712
Belgium,BEL,2008,1.1939038
Belgium,BEL,2007,1.474961
Belgium,BEL,1980,1.5044202
Belgium,BEL,2005,1.551766
Belgium,BEL,2003,1.3854507
Belgium,BEL,2002,1.9134201
Belgium,BEL,2001,1.863774
Belgium,BEL,2000,1.6861631
Belgium,BEL,1999,2.4743385
Belgium,BEL,1998,2.0209236
Belgium,BEL,2004,1.7042524
Belgium,BEL,1979,1.6080613
Belgium,BEL,1978,1.0496703
Belgium,BEL,1977,0.8978672
Belgium,BEL,1958,0.5993846
Belgium,BEL,1957,0.6479773
Belgium,BEL,1956,0.70821625
Belgium,BEL,1955,0.68959105
Belgium,BEL,1954,0.6706125
Belgium,BEL,1959,0.63965243
Belgium,BEL,2012,1.1762263
Belgium,BEL,1960,0.63652205
Belgium,BEL,1976,0.9296705
Belgium,BEL,1975,0.9104093
Belgium,BEL,1974,1.0357302
Belgium,BEL,1973,1.0891246
Belgium,BEL,1972,1.2263118
Belgium,BEL,1971,1.0135838
Belgium,BEL,1961,0.69810927
Belgium,BEL,1970,1.1004813
Belgium,BEL,1968,0.82571673
Belgium,BEL,1967,0.75558984
Belgium,BEL,1966,0.73840165
Belgium,BEL,1965,0.72155964
Belgium,BEL,1964,0.5771733
Belgium,BEL,1963,0.64610046
Belgium,BEL,1969,0.8438414
Belgium,BEL,2013,0.9884792
Belgium,BEL,2014,1.0184456
Belgium,BEL,2015,1.0573884
Belgium,BEL,2018,0.96141976
Belgium,BEL,2017,0.98406327
Belgium,BEL,2016,1.1034001
Corsica and Sardinia,,1675,28.1
Corsica and Sardinia,,1725,42.2
Corsica and Sardinia,,1775,49.1
Corsica and Sardinia,,1825,22.8
Corsica and Sardinia,,1862,29.2
Corsica and Sardinia,,1887,14.1
Corsica and Sardinia,,1912,10
