Entity,Code,Year,Number of homicides - Both sexes - All ages
Afghanistan,AFG,2009,1115
Afghanistan,AFG,2010,983
Afghanistan,AFG,2011,1231
Afghanistan,AFG,2012,1948
Afghanistan,AFG,2015,3367
Afghanistan,AFG,2016,2318
Afghanistan,AFG,2017,2424
Afghanistan,AFG,2018,2474
Afghanistan,AFG,2019,2712
Afghanistan,AFG,2020,2570
Afghanistan,AFG,2021,1613
Africa (UN),,2000,111753.77
Africa (UN),,2001,114077.99
Africa (UN),,2002,116395.555
Africa (UN),,2003,115552.42
Africa (UN),,2004,116268.305
Africa (UN),,2005,117927.734
Africa (UN),,2006,121433.94
Africa (UN),,2007,122598.22
Africa (UN),,2008,125230.18
Africa (UN),,2009,126907.01
Africa (UN),,2010,129018.16
Africa (UN),,2011,133067.61
Africa (UN),,2012,137077.31
Africa (UN),,2013,140922.72
Africa (UN),,2014,146094.92
Africa (UN),,2015,148535.66
Africa (UN),,2016,151978.38
Africa (UN),,2017,158106.98
Africa (UN),,2018,159546.72
Africa (UN),,2019,163489.23
Africa (UN),,2020,164188.8
Africa (UN),,2021,176380.38
Albania,ALB,1992,130
Albania,ALB,1993,191
Albania,ALB,1994,112
Albania,ALB,1995,259
Albania,ALB,1996,272
Albania,ALB,1997,1334
Albania,ALB,1998,660
Albania,ALB,1999,532
Albania,ALB,2000,131
Albania,ALB,2001,220
Albania,ALB,2002,216
Albania,ALB,2003,166
Albania,ALB,2004,131
Albania,ALB,2005,154
Albania,ALB,2006,95
Albania,ALB,2007,105
Albania,ALB,2008,93
Albania,ALB,2009,85
Albania,ALB,2010,119
Albania,ALB,2011,142
Albania,ALB,2012,157
Albania,ALB,2013,124
Albania,ALB,2014,134
Albania,ALB,2015,64
Albania,ALB,2016,79
Albania,ALB,2017,58
Albania,ALB,2018,66
Albania,ALB,2019,65
Albania,ALB,2020,61
Albania,ALB,2021,66
Algeria,DZA,2006,312
Algeria,DZA,2007,271
Algeria,DZA,2008,328
Algeria,DZA,2009,277
Algeria,DZA,2010,254
Algeria,DZA,2011,280
Algeria,DZA,2012,523
Algeria,DZA,2013,480
Algeria,DZA,2014,577
Algeria,DZA,2015,546
Algeria,DZA,2016,542
Algeria,DZA,2017,524
Algeria,DZA,2018,568
Algeria,DZA,2019,519
Algeria,DZA,2020,654
Algeria,DZA,2021,695
American Samoa,ASM,2001,1
American Samoa,ASM,2002,7
American Samoa,ASM,2003,3
American Samoa,ASM,2004,4
American Samoa,ASM,2005,6
American Samoa,ASM,2006,4
American Samoa,ASM,2007,1
American Samoa,ASM,2008,3
American Samoa,ASM,2009,2
American Samoa,ASM,2010,5
American Samoa,ASM,2011,5
American Samoa,ASM,2012,2
American Samoa,ASM,2013,3
American Samoa,ASM,2014,3
American Samoa,ASM,2015,4
American Samoa,ASM,2016,0
American Samoa,ASM,2017,7
American Samoa,ASM,2018,13
American Samoa,ASM,2019,0
Americas (UN),,2000,129309.29
Americas (UN),,2001,137393.27
Americas (UN),,2002,139394.7
Americas (UN),,2003,139522.22
Americas (UN),,2004,132146.98
Americas (UN),,2005,131228.11
Americas (UN),,2006,134864.1
Americas (UN),,2007,132773.62
Americas (UN),,2008,142826.12
Americas (UN),,2009,151053.3
Americas (UN),,2010,155521.98
Americas (UN),,2011,159706.7
Americas (UN),,2012,162501.39
Americas (UN),,2013,159184.47
Americas (UN),,2014,158163.86
Americas (UN),,2015,156992.16
Americas (UN),,2016,165570.89
Americas (UN),,2017,169873.8
Americas (UN),,2018,165539.23
Americas (UN),,2019,153827.78
Americas (UN),,2020,154673.66
Americas (UN),,2021,154332.78
Andorra,AND,2004,1
Andorra,AND,2007,0
Andorra,AND,2008,1
Andorra,AND,2009,0
Andorra,AND,2010,0
Andorra,AND,2011,1
Andorra,AND,2012,0
Andorra,AND,2013,0
Andorra,AND,2014,0
Andorra,AND,2015,0
Andorra,AND,2020,2
Angola,AGO,2011,1055
Angola,AGO,2012,1217
Angola,AGO,2015,1254
Angola,AGO,2016,1196
Anguilla,AIA,1990,0
Anguilla,AIA,1991,1
Anguilla,AIA,1992,0
Anguilla,AIA,1993,1
Anguilla,AIA,1994,0
Anguilla,AIA,1995,1
Anguilla,AIA,1996,0
Anguilla,AIA,1997,1
Anguilla,AIA,1998,0
Anguilla,AIA,1999,0
Anguilla,AIA,2000,1
Anguilla,AIA,2001,0
Anguilla,AIA,2002,2
Anguilla,AIA,2003,2
Anguilla,AIA,2004,1
Anguilla,AIA,2005,0
Anguilla,AIA,2006,5
Anguilla,AIA,2007,4
Anguilla,AIA,2008,1
Anguilla,AIA,2009,1
Anguilla,AIA,2010,0
Anguilla,AIA,2011,0
Anguilla,AIA,2012,5
Anguilla,AIA,2013,1
Anguilla,AIA,2014,4
Antigua and Barbuda,ATG,1990,1
Antigua and Barbuda,ATG,1991,3
Antigua and Barbuda,ATG,1992,2
Antigua and Barbuda,ATG,1993,4
Antigua and Barbuda,ATG,1994,5
Antigua and Barbuda,ATG,1995,7
Antigua and Barbuda,ATG,1996,3
Antigua and Barbuda,ATG,1997,1
Antigua and Barbuda,ATG,2000,5
Antigua and Barbuda,ATG,2001,7
Antigua and Barbuda,ATG,2002,5
